Advertising_Spend,Sales
224.83570765056163,1095.8711234118
193.08678494144075,957.0210182518966
232.38442690503462,1155.0678441946377
276.15149282040124,1364.7119187175738
188.2923312638332,938.2359420858457
188.29315215254098,949.5467778989957
278.9606407753696,1432.5269219010586
238.37173645764545,1195.3502385448642
176.52628070325238,887.7824113307172
227.12800217929822,1134.1510925811676
176.82911535937689,845.7701524909036
176.71351232148714,883.0372840984513
212.0981135783017,1061.6951720903292
104.33598776711011,570.9447810852562
113.75410837434836,564.9233225761193
171.88562353795137,865.4590645364291
149.35844398327882,746.0979845222892
215.7123666297637,1055.188272396428
154.59879622393944,795.8504374099977
129.38481493323542,661.9627353199127
273.2824384460777,1382.2328311712497
188.7111849756732,925.3681757824712
203.3764102343962,1044.937937390703
128.76259068932717,615.7759321907903
172.78086377374086,875.6414607447097
205.5461294854933,1071.539759943666
142.45032112888487,692.4408791418106
218.7849009172836,1082.5985499943627
169.96806550405975,851.8333548220515
185.41531251033615,917.0070494693568
169.91466938853014,818.5600783213281
292.6139092254469,1464.440805623355
199.3251387631033,975.3796195409943
147.114453552205,745.0441163737286
241.12724560515946,1187.2477433411211
138.9578175014489,725.7877756075952
210.44317975023776,1036.5508329044642
102.01649380601123,503.6412387059426
133.59069755507846,684.2238321227857
209.84306179345617,1024.5980226386018
236.92332899977052,1189.1658436909352
208.56841405949854,1068.9849253831412
194.21758588058796,938.9382647117153
184.94481522053556,928.4167532733239
126.07390048162863,635.5671582931117
164.00778958026456,835.675405336869
176.96806145201063,860.1012930424915
252.85611131094578,1237.8714242930434
217.18091447842306,1096.3434037044533
111.8479922318633,565.1796546239802
216.20419846973977,1086.0308493556165
180.74588597918418,910.6583940858604
166.15389998470206,817.1690054919405
230.5838144420434,1157.5641461534372
251.54997612479755,1263.6113300899615
246.56400595580993,1218.5330014185224
158.03912383886808,827.5111094172356
184.53938120743928,932.1735644554321
216.5631715701782,1058.989787906838
248.77725635611796,1257.0173539532664
176.0412881077355,860.712807134131
190.71705116680914,969.3269479088948
144.68325129969858,746.5881680786409
140.18966879596647,684.5346976127981
240.6262911197099,1222.398978183436
267.8120014285412,1347.315625681436
196.3994939209833,998.4386728048064
250.17664489460122,1288.819084126085
218.0818012523817,1085.501243941851
167.7440122697438,823.6453380615691
218.0697802754207,1072.558612784593
276.90182832329845,1368.1929359171836
198.20869804450243,989.50145603423
278.23218279070034,1397.9839534498346
69.01274479551279,350.5975399641643
241.09512521876118,1222.0192910745263
204.35235341190855,1022.0218048971009
185.04963247670662,954.3188439266794
204.58803882677512,1017.6470574691165
100.62155426995535,557.5111546815691
189.01640560812442,957.5953749959222
217.85562857558733,1072.1349917496111
273.8947022370758,1348.055661224157
174.08648908631764,880.0818937364519
159.5753198553406,793.407343570186
174.91214782077316,888.8407489857076
245.7701058851037,1238.3152819169893
216.43755548298424,1080.7311991617837
173.51198981164805,850.6240746968722
225.66337165566782,1098.0199137846218
204.85387746740201,1015.3390882956697
248.43224952664445,1259.2892235196916
164.89734530613237,828.7686014132659
183.61689267011158,893.1696877763181
180.3945923433921,905.4365802339842
126.82425259339408,641.8276105615471
214.8060138532288,1056.3529205421214
213.05276360899447,1068.3383201638828
200.25567283212305,1002.4425385295353
188.27064333124267,918.4938106996009
